Date,Team,Opponent,Player,Minutes,FieldGoalAttempts,FieldGoalMade,Assits,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Turnovers,Points,OffensiveEfficiency,EfficientPointsScored,RawEOP,Win
2/11/2021,Kaukauna,Fond du Lac,30,3,0,0,0,1,1,2,0,0,0,0,0,No
2/16/2021,Kaukauna,Appleton West,2,23,3,2,4,0,3,3,0,6,0.857142857,5.142857143,7.748571429,Yes
2/16/2021,Kaukauna,Appleton West,3,21,3,2,2,0,1,1,0,5,0.8,4,5.216,Yes
2/16/2021,Kaukauna,Appleton West,4,34,8,3,8,0,5,5,4,15,0.55,8.25,11.594,Yes
2/16/2021,Kaukauna,Appleton West,11,6,2,1,0,0,0,0,0,3,0.5,1.5,1.5,Yes
2/16/2021,Kaukauna,Appleton West,15,20,6,2,0,0,0,0,1,7,0.285714286,2,2,Yes
2/16/2021,Kaukauna,Appleton West,20,30,6,6,2,1,3,4,1,16,1,16,17.52,Yes
2/16/2021,Kaukauna,Appleton West,21,34,18,17,4,3,7,10,1,40,1.05,42,45.192,Yes
2/16/2021,Kaukauna,Appleton West,33,7,2,1,0,3,1,4,2,2,1,2,2,Yes
2/19/2021,Kaukauna,Neenah,2,22,1,0,1,0,4,4,2,0,0.25,0,0.19,No
2/19/2021,Kaukauna,Neenah,3,33,14,7,2,0,2,2,1,18,0.529411765,9.529411765,10.33411765,No
2/19/2021,Kaukauna,Neenah,4,36,14,8,8,0,3,3,0,22,0.727272727,16,20.42181818,No
2/19/2021,Kaukauna,Neenah,11,5,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,No
